id,dataset,split,aspect_category,sentiment_polarity,mami_shaming,mami_stereotype,mami_objectification,mami_violence,mis_aggressiveDE,mis_ironicDE,mis_misogynisticCS
mami_8716,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_10861,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4533,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_10768,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1255,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_591,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_1013,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_1758,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_13141,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9282,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1322,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4712,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1752,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_474,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_11256,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5209,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1781,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9488,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8615,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8275,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4066,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4681,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3237,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_763,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_1617,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11523,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7693,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8746,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3984,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1889,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_3569,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_4948,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9379,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7227,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_6976,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8653,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10655,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8025,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_649,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_2498,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_1683,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_5385,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_7501,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4124,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10436,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5718,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4619,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4931,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7549,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14200,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6953,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_10330,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2110,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_1291,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_3991,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11008,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_5371,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3999,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2706,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_8875,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11544,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5838,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11357,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_45,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10806,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11019,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8794,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8820,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7679,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14080,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_1326,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_2072,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6138,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4218,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_2458,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10315,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5411,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_10904,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4204,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4128,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6878,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10055,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9156,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2168,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5060,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5673,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5105,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_2883,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4145,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10912,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9687,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10536,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1660,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4791,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_2620,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_9962,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8843,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2695,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6007,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7357,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7717,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_5080,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2285,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10667,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2861,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_886,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5086,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_8956,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10423,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8410,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6459,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3770,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9756,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2811,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_13036,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_1367,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_2241,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_3676,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_5837,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11027,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_7124,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8194,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4505,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7308,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10669,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11716,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10461,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10340,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8248,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4358,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14175,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4566,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11303,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7766,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7175,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10810,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3857,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_71,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11642,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2722,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_629,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5024,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2281,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_9382,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7525,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2419,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_10901,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5843,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_7518,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9115,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8494,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_854,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6831,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5808,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_2261,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_887,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6282,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4675,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3957,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_6537,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10441,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_418,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_971,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_7493,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5007,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6906,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_23,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_7287,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9093,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2652,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6949,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8431,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6548,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2578,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_505,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5057,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4835,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11445,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_3439,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_2473,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_3917,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_4304,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5390,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8131,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_101,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11200,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_2698,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_7237,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4800,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_13099,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_13402,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_10460,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14105,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5343,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8874,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6196,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7417,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6661,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_5094,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_4858,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5316,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10351,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_10580,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7915,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5398,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7534,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8803,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3554,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_2117,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_4238,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1831,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_9271,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8628,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_9605,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10975,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10830,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11473,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10034,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_8339,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10794,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8408,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3962,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6681,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2784,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6417,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1352,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_568,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_4059,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9689,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_2427,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_2783,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4451,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10740,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4629,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8094,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8092,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7605,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6943,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_11608,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_13444,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5441,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8572,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_111,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11550,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_13063,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_7514,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14060,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_1584,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_11375,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5124,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6066,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9400,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_433,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4469,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5735,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_717,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6720,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8808,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_4069,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11561,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2094,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6364,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_1977,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6331,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1830,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_2325,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_8026,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_11693,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_13210,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_867,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_572,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_10243,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9253,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_2086,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_3525,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_10127,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11163,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_11718,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8753,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5582,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4785,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10903,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_543,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_1451,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6873,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6150,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8009,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_802,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4330,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8232,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8182,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4879,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7454,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_3655,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_13357,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3379,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_8869,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
